624.8	10.9348
625.24	10.9784
625.68	11.0186
625.86	11.0622
625.7	11.1018
625.18	11.145
624.33	11.1844
623.75	11.2274
624.03	11.2674
624.21	11.3108
624.29	11.3512
624.62	11.3944
624.8	11.4342
624.78	11.4768
624.74	11.5164
625.02	11.5598
625.7	11.6
626.35	11.6436
626.73	11.6836
626.45	11.7266
625.96	11.766
625.88	11.809
626.27	11.849
626.89	11.8928
627.49	11.933
627.25	11.976
625.46	12.016
623.39	12.0584
622.97	12.0982
623.39	12.1418
623.97	12.1818
624.78	12.2256
625.92	12.2654
627.11	12.3086
628.05	12.348
628.78	12.391
629.26	12.431
629.16	12.4748
627.71	12.515
625.96	12.558
624.92	12.5978
624.68	12.6404
624.58	12.6804
624.82	12.724
626.08	12.7642
627.27	12.8076
628.14	12.8474
628.38	12.8906
628.38	12.93
628.12	12.9732
627.71	13.013
627.43	13.0568
627.25	13.0972
626.95	13.1402
626.89	13.18
626.97	13.2224
626.87	13.2622
626.91	13.3062
626.97	13.3462
626.93	13.3898
626.41	13.4296
623.55	13.4726
622.14	13.512
624.07	13.5552
626.85	13.5954
629.5	13.639
631.67	13.6792
633.44	13.7222
634.79	13.7622
635.94	13.8048
636.78	13.8446
637.52	13.8884
638.13	13.9284
638.55	13.972
639.15	14.0116
639.54	14.0546
640	14.0942
640.4	14.1374
640.82	14.1776
641.26	14.2216
641.75	14.2616
642.13	14.3042
642.47	14.3442
642.99	14.387
643.44	14.427
643.86	14.4708
644.28	14.5108
644.74	14.5544
645.21	14.5942
645.65	14.637
646.07	14.6764
646.51	14.72
646.96	14.7602
647.44	14.804
647.84	14.844
648.36	14.887
648.76	14.9268
649.21	14.9694
649.63	15.0098
650.13	15.0534
650.57	15.0936
650.98	15.1372
651.46	15.1768
651.8	15.2198
652.26	15.2596
652.75	15.3026
653.11	15.3434
653.61	15.3872
654.07	15.427
654.5	15.4698
654.88	15.5096
655.32	15.5526
655.76	15.5926
656.16	15.6364
656.61	15.6768
657.03	15.7202
657.45	15.7598
657.87	15.8024
658.24	15.842
658.66	15.886
659.14	15.9264
659.62	15.97
660	16.01
660.39	16.0526
660.83	16.0924
661.21	16.1356
661.61	16.1758
662.01	16.2196
662.46	16.2596
662.82	16.3032
663.3	16.3424
663.62	16.3854
664.01	16.4254
664.43	16.469
664.81	16.5096
665.27	16.5528
665.67	16.5926
666.04	16.6356
666.42	16.6754
666.82	16.7186
667.22	16.7588
667.6	16.803
668.05	16.8428
668.37	16.886
668.77	16.9258
669.15	16.9688
669.53	17.0088
669.92	17.0526
670.3	17.093
670.74	17.1362
671.06	17.176
671.47	17.219
671.85	17.2588
672.21	17.3024
672.61	17.3422
672.89	17.3864
673.27	17.4264
673.74	17.4694
674.1	17.509
674.42	17.552
674.8	17.5922
675.1	17.6358
675.43	17.6764
675.87	17.7194
676.21	17.7592
676.57	17.802
676.91	17.842
677.24	17.8856
677.58	17.9258
677.94	17.9698
678.36	18.0094
678.7	18.0526
679.03	18.0922
679.39	18.1356
679.69	18.1756
680.03	18.2194
680.37	18.2598
680.73	18.3028
681.06	18.3428
681.46	18.3854
681.74	18.4256
682	18.4692
682.36	18.5094
682.7	18.5532
683.09	18.5928
683.37	18.6358
683.71	18.6754
684.05	18.7188
684.37	18.7594
684.74	18.803
685.02	18.8428
685.34	18.886
685.62	18.9258
685.96	18.9688
686.26	19.009
686.57	19.0526
686.89	19.0926
687.11	19.1364
687.55	19.176
687.83	19.2188
688.15	19.2586
688.44	19.3022
688.7	19.3426
689.06	19.3864
689.4	19.4262
689.66	19.469
689.92	19.5088
690.26	19.5522
690.51	19.5922
690.81	19.6362
691.15	19.6762
691.43	19.7194
691.69	19.759
691.95	19.802
692.28	19.842
692.6	19.8854
692.84	19.926
693.14	19.9696
693.4	20.0094
693.74	20.052
693.98	20.092
694.25	20.1354
694.49	20.1756
694.83	20.2194
695.09	20.2596
695.35	20.3028
695.61	20.3422
695.83	20.3852
696.08	20.4256
696.46	20.4688
696.6	20.5096
696.94	20.5528
697.2	20.5926
697.44	20.6352
697.72	20.6752
697.99	20.719
698.29	20.759
698.55	20.803
698.83	20.8428
699.03	20.8858
699.27	20.9254
699.55	20.9686
699.78	21.0088
700	21.0526
700.24	21.093
700.56	21.1358
700.74	21.1758
700.98	21.2184
701.24	21.2586
701.44	21.3024
701.75	21.3426
701.97	21.3862
702.21	21.426
702.43	21.4688
702.67	21.5082
702.87	21.552
703.15	21.5922
703.41	21.636
703.58	21.6764
703.86	21.7192
704.08	21.759
704.3	21.802
704.52	21.842
704.66	21.8856
704.9	21.926
705.22	21.9696
705.47	22.0094
705.63	22.0522
705.85	22.0918
706.07	22.1356
706.29	22.1756
706.49	22.2196
706.71	22.2596
706.95	22.3024
707.11	22.3422
707.34	22.387
707.54	22.4256
707.74	22.4694
708	22.5092
708.16	22.553
708.36	22.5926
708.58	22.6354
708.82	22.6754
708.98	22.719
709.17	22.7592
709.37	22.8028
709.55	22.843
